fight_date,fighter_red,fighter_blue,winner,red_age,blue_age,red_height_cm,blue_height_cm,red_reach_cm,blue_reach_cm,red_wins,blue_wins,red_losses,blue_losses,red_sig_str_acc,blue_sig_str_acc,red_takedown_acc,blue_takedown_acc,red_stance,blue_stance,target_red_win,age_diff,age_sum,height_cm_diff,height_cm_sum,reach_cm_diff,reach_cm_sum,wins_diff,wins_sum,losses_diff,losses_sum,sig_str_acc_diff,sig_str_acc_sum,takedown_acc_diff,takedown_acc_sum,red_win_rate,blue_win_rate,win_rate_diff,same_stance,red_stance_Open Stance,red_stance_Orthodox,red_stance_Sideways,red_stance_Southpaw,red_stance_Switch,red_stance_Unknown,blue_stance_Open Stance,blue_stance_Orthodox,blue_stance_Sideways,blue_stance_Southpaw,blue_stance_Switch,blue_stance_Unknown,fight_month,fight_year
1994-03-11,Jason DeLucia,Scott Baker,red,24.63,,180.34,182.88,,,33,1,21,1,0.0,0.0,0.0,0.0,Southpaw,Unknown,1,,,-2.539999999999992,363.22,,,32,34,20,22,0.0,0.0,0.0,0.0,0.6,0.3333333333333333,0.26666666666666666,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1994
1994-03-11,Orlando Wiet,Robert Lucarelli,red,,,177.8,187.96,,,1,0,5,1,0.0,0.0,0.0,0.0,Southpaw,Unknown,1,,,-10.159999999999997,365.76,,,1,1,4,6,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1994
1994-03-11,Johnny Rhodes,David Levicki,red,,,182.88,195.58,,,2,1,1,3,0.0,0.0,0.0,0.0,Orthodox,Unknown,1,,,-12.700000000000017,378.46000000000004,,,1,3,-2,4,0.0,0.0,0.0,0.0,0.5,0.2,0.3,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1994
1994-03-11,Patrick Smith,Scott Morris,red,30.54,,187.96,177.8,,,20,2,17,1,0.0,0.0,0.0,0.0,Orthodox,Orthodox,1,,,10.159999999999997,365.76,,,18,22,16,18,0.0,0.0,0.0,0.0,0.5263157894736842,0.5,0.02631578947368418,1,0,1,0,0,0,0,0,1,0,0,0,0,3,1994
1994-03-11,Frank Hamaker,Thaddeus Luster,red,,,,190.5,,,1,0,0,1,0.0,0.0,0.0,0.0,Unknown,Unknown,1,,,,,,,1,1,-1,1,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1,0,0,0,0,0,1,0,0,0,0,0,1,3,1994
1994-09-09,Ken Shamrock,Felix Lee Mitchell,red,30.58,,185.42,,182.88,,28,2,17,7,0.46,0.0,0.6,0.0,Orthodox,Orthodox,1,,,,,,,26,30,10,24,0.46,0.46,0.6,0.6,0.6086956521739131,0.2,0.40869565217391307,1,0,1,0,0,0,0,0,1,0,0,0,0,9,1994
1994-09-09,Steve Jennum,Harold Howard,red,,,177.8,187.96,,,2,1,3,3,0.0,0.0,0.0,0.0,Orthodox,Orthodox,1,,,-10.159999999999997,365.76,,,1,3,0,6,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.1333333333333333,1,0,1,0,0,0,0,0,1,0,0,0,0,9,1994
1994-09-09,Royce Gracie,Kimo Leopoldo,red,27.74,26.68,185.42,190.5,,,15,10,2,7,0.41,0.83,0.0,1.0,Southpaw,Orthodox,1,1.0599999999999987,54.42,-5.0800000000000125,375.91999999999996,,,5,25,-5,9,-0.42,1.24,-1.0,1.0,0.8333333333333334,0.5555555555555556,0.2777777777777778,0,0,0,0,1,0,0,0,1,0,0,0,0,9,1994
1994-09-09,Ken Shamrock,Christophe Leninger,red,30.58,,185.42,182.88,182.88,,28,3,17,4,0.46,0.0,0.6,0.0,Orthodox,Southpaw,1,,,2.539999999999992,368.29999999999995,,,25,31,13,21,0.46,0.46,0.6,0.6,0.6086956521739131,0.375,0.23369565217391308,0,0,1,0,0,0,0,0,0,0,1,0,0,9,1994
1994-09-09,Keith Hackney,Emmanuel Yarborough,red,,34.01,180.34,203.2,,,2,1,2,2,0.0,0.0,0.0,0.0,Sideways,Open Stance,1,,,-22.859999999999985,383.53999999999996,,,1,3,0,4,0.0,0.0,0.0,0.0,0.4,0.25,0.15000000000000002,0,0,0,1,0,0,0,1,0,0,0,0,0,9,1994
1994-09-09,Harold Howard,Roland Payne,red,,,187.96,175.26,,,1,0,3,1,0.0,0.0,0.0,0.0,Orthodox,Orthodox,1,,,12.700000000000017,363.22,,,1,1,2,4,0.0,0.0,0.0,0.0,0.2,0.0,0.2,1,0,1,0,0,0,0,0,1,0,0,0,0,9,1994
1994-12-16,Royce Gracie,Keith Hackney,red,28.01,,185.42,180.34,,,15,2,2,2,0.41,0.0,0.0,0.0,Southpaw,Sideways,1,,,5.079999999999984,365.76,,,13,17,0,4,0.41,0.41,0.0,0.0,0.8333333333333334,0.4,0.43333333333333335,0,0,0,0,1,0,0,0,0,1,0,0,0,12,1994
1994-12-16,Dan Severn,Marcus Bossett,red,36.52,,187.96,185.42,,,101,1,19,3,0.0,0.0,0.0,0.0,Southpaw,Orthodox,1,,,2.5400000000000205,373.38,,,100,102,16,22,0.0,0.0,0.0,0.0,0.8347107438016529,0.2,0.6347107438016528,0,0,0,0,1,0,0,0,1,0,0,0,0,12,1994
1994-12-16,Royce Gracie,Dan Severn,red,28.01,36.52,185.42,187.96,,,15,101,2,19,0.41,0.0,0.0,0.0,Southpaw,Southpaw,1,-8.510000000000002,64.53,-2.5400000000000205,373.38,,,-86,116,-17,21,0.41,0.41,0.0,0.0,0.8333333333333334,0.8347107438016529,-0.0013774104683195176,1,0,0,0,1,0,0,0,0,0,1,0,0,12,1994
1994-12-16,Steve Jennum,Melton Bowen,red,,25.42,177.8,182.88,,,2,0,3,1,0.0,0.0,0.0,0.0,Orthodox,Orthodox,1,,,-5.079999999999984,360.68,,,2,2,2,4,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1,0,1,0,0,0,0,0,1,0,0,0,0,12,1994
1994-12-16,Joe Charles,Kevin Rosier,red,,,185.42,193.04,,,6,2,13,6,0.0,0.0,0.0,0.0,Southpaw,Orthodox,1,,,-7.6200000000000045,378.46,,,4,8,7,19,0.0,0.0,0.0,0.0,0.3,0.2222222222222222,0.07777777777777778,0,0,0,0,1,0,0,0,1,0,0,0,0,12,1994
1994-12-16,Royce Gracie,Ron van Clief,red,28.01,51.89,185.42,177.8,,,15,0,2,1,0.41,0.0,0.0,0.0,Southpaw,Orthodox,1,-23.88,79.9,7.619999999999976,363.22,,,15,15,1,3,0.41,0.41,0.0,0.0,0.8333333333333334,0.0,0.8333333333333334,0,0,0,0,1,0,0,0,1,0,0,0,0,12,1994
1994-12-16,Keith Hackney,Joe Son,red,,24.07,180.34,162.56,,,2,0,2,4,0.0,0.0,0.0,0.0,Sideways,Orthodox,1,,,17.78,342.9,,,2,2,-2,6,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0,0,0,1,0,0,0,0,1,0,0,0,0,12,1994
1994-12-16,Guy Mezger,Jason Fairn,red,26.96,,185.42,185.42,,,30,4,14,5,0.32,0.0,0.5,0.0,Orthodox,Unknown,1,,,0.0,370.84,,,26,34,9,19,0.32,0.32,0.5,0.5,0.6666666666666666,0.4,0.2666666666666666,0,0,1,0,0,0,0,0,0,0,0,0,1,12,1994
1994-12-16,Marcus Bossett,Eldo Xavier Dias,red,,30.42,185.42,180.34,,,1,0,3,1,0.0,0.0,0.0,0.0,Orthodox,Unknown,1,,,5.079999999999984,365.76,,,1,1,2,4,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0,0,1,0,0,0,0,0,0,0,0,0,1,12,1994
1994-12-16,Dan Severn,Anthony Macias,red,36.52,,187.96,175.26,,,101,26,19,18,0.0,0.0,0.0,0.0,Southpaw,Switch,1,,,12.700000000000017,363.22,,,75,127,1,37,0.0,0.0,0.0,0.0,0.8347107438016529,0.5777777777777777,0.25693296602387516,0,0,0,0,1,0,0,0,0,0,0,1,0,12,1994
1995-04-07,Dan Severn,Dave Beneteau,red,36.83,,187.96,187.96,,,101,6,19,5,0.0,0.0,0.0,0.0,Southpaw,Orthodox,1,,,0.0,375.92,,,95,107,14,24,0.0,0.0,0.0,0.0,0.8347107438016529,0.5,0.3347107438016529,0,0,0,0,1,0,0,0,1,0,0,0,0,4,1995
1995-04-07,Dan Severn,Oleg Taktarov,red,36.83,27.61,187.96,182.88,,,101,17,19,5,0.0,0.0,0.0,0.0,Southpaw,Orthodox,1,9.219999999999999,64.44,5.0800000000000125,370.84000000000003,,,84,118,14,24,0.0,0.0,0.0,0.0,0.8347107438016529,0.7391304347826086,0.09558030901904424,0,0,0,0,1,0,0,0,1,0,0,0,0,4,1995
1995-04-07,Dan Severn,Joe Charles,red,36.83,,187.96,185.42,,,101,6,19,13,0.0,0.0,0.0,0.0,Southpaw,Southpaw,1,,,2.5400000000000205,373.38,,,95,107,6,32,0.0,0.0,0.0,0.0,0.8347107438016529,0.3,0.534710743801653,1,0,0,0,1,0,0,0,0,0,1,0,0,4,1995
1995-04-07,Dave Beneteau,Todd Medina,red,,,187.96,177.8,,,6,11,5,9,0.0,0.0,0.0,0.0,Orthodox,Southpaw,1,,,10.159999999999997,365.76,,,-5,17,-4,14,0.0,0.0,0.0,0.0,0.5,0.5238095238095238,-0.023809523809523836,0,0,1,0,0,0,0,0,0,0,1,0,0,4,1995
1995-04-07,Guy Mezger,John Dowdy,red,27.26,,185.42,,,,30,0,14,1,0.32,0.0,0.5,0.0,Orthodox,Unknown,1,,,,,,,30,30,13,15,0.32,0.32,0.5,0.5,0.6666666666666666,0.0,0.6666666666666666,0,0,1,0,0,0,0,0,0,0,0,0,1,4,1995
1995-04-07,Oleg Taktarov,Ernie Verdicia,red,27.61,,182.88,180.34,,,17,0,5,1,0.0,0.0,0.0,0.0,Orthodox,Orthodox,1,,,2.539999999999992,363.22,,,17,17,4,6,0.0,0.0,0.0,0.0,0.7391304347826086,0.0,0.7391304347826086,1,0,1,0,0,0,0,0,1,0,0,0,0,4,1995
1995-04-07,Jon Hess,Andy Anderson,red,,20.73,200.66,167.64,,,1,0,1,1,0.0,0.0,0.0,0.0,Unknown,Unknown,1,,,33.02000000000001,368.29999999999995,,,1,1,0,2,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1,0,0,0,0,0,1,0,0,0,0,0,1,4,1995
1995-04-07,Dave Beneteau,Asbel Cancio,red,,,187.96,177.8,,,6,0,5,1,0.0,0.0,0.0,0.0,Orthodox,Unknown,1,,,10.159999999999997,365.76,,,6,6,4,6,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,1,4,1995
1995-04-07,Todd Medina,Larry Cureton,red,,,177.8,187.96,,,11,0,9,2,0.0,0.0,0.0,0.0,Southpaw,Orthodox,1,,,-10.159999999999997,365.76,,,11,11,7,11,0.0,0.0,0.0,0.0,0.5238095238095238,0.0,0.5238095238095238,0,0,0,0,1,0,0,0,1,0,0,0,0,4,1995
1995-07-14,Oleg Taktarov,Anthony Macias,red,27.88,,182.88,175.26,,,17,26,5,18,0.0,0.0,0.0,0.0,Orthodox,Switch,1,,,7.6200000000000045,358.14,,,-9,43,-13,23,0.0,0.0,0.0,0.0,0.7391304347826086,0.5777777777777777,0.16135265700483092,0,0,1,0,0,0,0,0,0,0,0,1,0,7,1995
1995-07-14,Oleg Taktarov,David Abbott,red,27.88,30.21,182.88,182.88,,,17,10,5,15,0.0,0.3,0.0,0.33,Orthodox,Switch,1,-2.330000000000002,58.09,0.0,365.76,,,7,27,-10,20,-0.3,0.3,-0.33,0.33,0.7391304347826086,0.38461538461538464,0.354515050167224,0,0,1,0,0,0,0,0,0,0,0,1,0,7,1995
1995-07-14,Ken Shamrock,Dan Severn,red,31.42,37.1,185.42,187.96,182.88,,28,101,17,19,0.46,0.0,0.6,0.0,Orthodox,Southpaw,1,-5.68,68.52000000000001,-2.5400000000000205,373.38,,,-73,129,-2,36,0.46,0.46,0.6,0.6,0.6086956521739131,0.8347107438016529,-0.2260150916277398,0,0,1,0,0,0,0,0,0,0,1,0,0,7,1995
1995-07-14,David Abbott,Paul Varelans,red,30.21,,182.88,203.2,,,10,9,15,9,0.3,0.0,0.33,0.0,Switch,Orthodox,1,,,-20.319999999999993,386.08,,,1,19,6,24,0.3,0.3,0.33,0.33,0.38461538461538464,0.47368421052631576,-0.08906882591093113,0,0,0,0,0,1,0,0,1,0,0,0,0,7,1995
1995-07-14,Patrick Smith,Rudyard Moncayo,red,31.88,,187.96,177.8,,,20,0,17,3,0.0,0.0,0.0,0.0,Orthodox,Orthodox,1,,,10.159999999999997,365.76,,,20,20,14,20,0.0,0.0,0.0,0.0,0.5263157894736842,0.0,0.5263157894736842,1,0,1,0,0,0,0,0,1,0,0,0,0,7,1995
1995-07-14,Oleg Taktarov,Dave Beneteau,red,27.88,,182.88,187.96,,,17,6,5,5,0.0,0.0,0.0,0.0,Orthodox,Orthodox,1,,,-5.0800000000000125,370.84000000000003,,,11,23,0,10,0.0,0.0,0.0,0.0,0.7391304347826086,0.5,0.23913043478260865,1,0,1,0,0,0,0,0,1,0,0,0,0,7,1995
1995-07-14,Paul Varelans,Cal Worsham,red,,,203.2,180.34,,,9,13,9,10,0.0,0.0,0.0,0.0,Orthodox,Orthodox,1,,,22.859999999999985,383.53999999999996,,,-4,22,-1,19,0.0,0.0,0.0,0.0,0.47368421052631576,0.5416666666666666,-0.06798245614035087,1,0,1,0,0,0,0,0,1,0,0,0,0,7,1995
1995-07-14,Joel Sutton,Jack McGlaughlin,red,,,180.34,,,,2,1,4,4,0.0,0.0,0.0,0.0,Orthodox,Orthodox,1,,,,,,,1,3,0,8,0.0,0.0,0.0,0.0,0.2857142857142857,0.16666666666666666,0.11904761904761904,1,0,1,0,0,0,0,0,1,0,0,0,0,7,1995
1995-07-14,Anthony Macias,He-Man Gipson,red,,,175.26,,,,26,1,18,2,0.0,0.0,0.0,0.0,Switch,Unknown,1,,,,,,,25,27,16,20,0.0,0.0,0.0,0.0,0.5777777777777777,0.25,0.3277777777777777,0,0,0,0,0,1,0,0,0,0,0,0,1,7,1995
1995-07-14,David Abbott,John Matua,red,30.21,,182.88,187.96,,,10,1,15,4,0.3,0.0,0.33,0.0,Switch,Orthodox,1,,,-5.0800000000000125,370.84000000000003,,,9,11,11,19,0.3,0.3,0.33,0.33,0.38461538461538464,0.16666666666666666,0.21794871794871798,0,0,0,0,0,1,0,0,1,0,0,0,0,7,1995
1995-09-08,Paul Varelans,Mark Hall,red,,,203.2,182.88,,,9,5,9,6,0.0,0.0,0.0,0.0,Orthodox,Orthodox,1,,,20.319999999999993,386.08,,,4,14,3,15,0.0,0.0,0.0,0.0,0.47368421052631576,0.4166666666666667,0.05701754385964908,1,0,1,0,0,0,0,0,1,0,0,0,0,9,1995
1995-09-08,Marco Ruas,Remco Pardoel,red,34.62,,185.42,190.5,,,9,9,4,6,0.0,0.0,0.0,0.0,Orthodox,Southpaw,1,,,-5.0800000000000125,375.91999999999996,,,0,18,-2,10,0.0,0.0,0.0,0.0,0.6428571428571429,0.5625,0.0803571428571429,0,0,1,0,0,0,0,0,0,0,1,0,0,9,1995
1995-09-08,Marco Ruas,Larry Cureton,red,34.62,,185.42,187.96,,,9,0,4,2,0.0,0.0,0.0,0.0,Orthodox,Orthodox,1,,,-2.5400000000000205,373.38,,,9,9,2,6,0.0,0.0,0.0,0.0,0.6428571428571429,0.0,0.6428571428571429,1,0,1,0,0,0,0,0,1,0,0,0,0,9,1995
1995-09-08,Marco Ruas,Paul Varelans,red,34.62,,185.42,203.2,,,9,9,4,9,0.0,0.0,0.0,0.0,Orthodox,Orthodox,1,,,-17.78,388.62,,,0,18,-5,13,0.0,0.0,0.0,0.0,0.6428571428571429,0.47368421052631576,0.16917293233082714,1,0,1,0,0,0,0,0,1,0,0,0,0,9,1995
1995-09-08,Remco Pardoel,Ryan Parker,red,,,190.5,190.5,,,9,0,6,1,0.0,0.0,0.0,0.0,Southpaw,Southpaw,1,,,0.0,381.0,,,9,9,5,7,0.0,0.0,0.0,0.0,0.5625,0.0,0.5625,1,0,0,0,1,0,0,0,0,0,1,0,0,9,1995
1995-09-08,Mark Hall,Harold Howard,red,,,182.88,187.96,,,5,1,6,3,0.0,0.0,0.0,0.0,Orthodox,Orthodox,1,,,-5.0800000000000125,370.84000000000003,,,4,6,3,9,0.0,0.0,0.0,0.0,0.4166666666666667,0.2,0.21666666666666667,1,0,1,0,0,0,0,0,1,0,0,0,0,9,1995
1995-09-08,Scott Bessac,David Hood,red,,,193.04,182.88,,,4,1,6,3,0.0,0.0,0.0,0.0,Unknown,Unknown,1,,,10.159999999999997,375.91999999999996,,,3,5,3,9,0.0,0.0,0.0,0.0,0.36363636363636365,0.2,0.16363636363636364,1,0,0,0,0,0,1,0,0,0,0,0,1,9,1995
1995-09-08,Onassis Parungao,Francesco Maturi,red,,,180.34,,,,2,0,1,1,0.0,0.0,0.0,0.0,Unknown,Unknown,1,,,,,,,2,2,0,2,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1,0,0,0,0,0,1,0,0,0,0,0,1,9,1995
1995-09-08,Paul Varelans,Gerry Harris,red,,,203.2,203.2,,,9,1,9,4,0.0,0.0,0.0,0.0,Orthodox,Orthodox,1,,,0.0,406.4,,,8,10,5,13,0.0,0.0,0.0,0.0,0.47368421052631576,0.16666666666666666,0.3070175438596491,1,0,1,0,0,0,0,0,1,0,0,0,0,9,1995
1995-09-08,Joel Sutton,Geza Kalman,red,,,180.34,185.42,,,2,4,4,9,0.0,0.0,0.0,0.0,Orthodox,Unknown,1,,,-5.079999999999984,365.76,,,-2,6,-5,13,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,9,1995
1995-12-16,Dan Severn,David Abbott,red,37.52,30.64,187.96,182.88,,,101,10,19,15,0.0,0.3,0.0,0.33,Southpaw,Switch,1,6.880000000000003,68.16,5.0800000000000125,370.84000000000003,,,91,111,4,34,-0.3,0.3,-0.33,0.33,0.8347107438016529,0.38461538461538464,0.45009535918626825,0,0,0,0,1,0,0,0,0,0,0,1,0,12,1995
