fight_date,fighter_red,fighter_blue,winner,red_age,blue_age,red_height_cm,blue_height_cm,red_reach_cm,blue_reach_cm,red_wins,blue_wins,red_losses,blue_losses,red_sig_str_acc,blue_sig_str_acc,red_takedown_acc,blue_takedown_acc,red_stance,blue_stance
2013-08-31,Jared Hamman,Magnus Cedenblad,blue,31.49,31.39,190.5,195.58,190.5,200.66,14,14,6,5,0.42,0.51,0.46,0.64,Orthodox,Orthodox
2013-08-31,Ryan Couture,Al Iaquinta,blue,31.01,26.34,177.8,177.8,185.42,177.8,11,14,5,7,0.45,0.4,0.29,0.18,Orthodox,Orthodox
2013-08-31,Soa Palelei,Nikita Krylov,red,36.14,21.48,193.04,190.5,205.74,195.58,22,30,5,11,0.57,0.54,0.47,0.38,Orthodox,Orthodox
2013-08-28,Carlos Condit,Martin Kampmann,red,29.34,31.36,187.96,182.88,190.5,182.88,32,20,14,7,0.39,0.42,0.46,0.41,Orthodox,Orthodox
2013-08-28,Donald Cerrone,Rafael Dos Anjos,blue,30.42,28.84,185.42,172.72,185.42,177.8,36,32,17,17,0.46,0.47,0.33,0.35,Orthodox,Southpaw
2013-08-28,Kelvin Gastelum,Brian Melancon,red,21.85,31.25,175.26,172.72,180.34,,20,7,10,3,0.42,0.49,0.34,1.0,Southpaw,Orthodox
2013-08-28,Takeya Mizugaki,Erik Perez,red,29.7,23.77,170.18,172.72,175.26,172.72,21,17,11,6,0.37,0.4,0.57,0.55,Orthodox,Orthodox
2013-08-28,Court McGee,Robert Whittaker,red,28.71,22.69,180.34,182.88,190.5,185.42,23,27,14,9,0.36,0.43,0.24,0.38,Orthodox,Orthodox
2013-08-28,Brad Tavares,Robert McDaniel,red,25.69,30.32,185.42,190.5,187.96,190.5,21,28,12,10,0.43,0.44,0.26,0.5,Orthodox,Southpaw
2013-08-28,Justin Edwards,Brandon Thatch,blue,30.59,28.13,177.8,187.96,177.8,187.96,9,11,5,5,0.42,0.42,0.26,0.66,Orthodox,Switch
2013-08-28,Dylan Andrews,Papy Abedi,red,33.79,35.16,185.42,180.34,187.96,,18,10,7,4,0.5,0.55,0.5,0.57,Switch,Southpaw
2013-08-28,Darren Elkins,Hatsu Hioki,red,29.28,30.11,177.8,180.34,180.34,185.42,29,29,12,10,0.38,0.42,0.34,0.56,Orthodox,Orthodox
2013-08-28,James Head,Jason High,blue,29.55,31.88,185.42,172.72,185.42,185.42,9,21,4,6,0.48,0.42,1.0,0.63,Orthodox,Southpaw
2013-08-28,Zak Cummings,Ben Alloway,red,29.07,32.52,182.88,180.34,190.5,193.04,25,18,7,8,0.35,0.49,0.28,0.5,Southpaw,Orthodox
2013-08-03,Cezar Ferreira,Thiago Santos,red,28.46,29.57,185.42,187.96,198.12,193.04,13,22,8,11,0.42,0.48,0.53,0.33,Southpaw,Orthodox
2013-08-03,Lyoto Machida,Phil Davis,blue,35.18,28.85,185.42,187.96,187.96,200.66,24,17,8,4,0.53,0.34,0.65,0.38,Southpaw,Orthodox
2013-08-03,Jose Aldo,Chan Sung Jung,red,26.9,26.38,170.18,170.18,177.8,182.88,32,17,10,8,0.46,0.41,0.51,0.44,Orthodox,Orthodox
2013-08-03,Thales Leites,Tom Watson,red,31.91,31.06,185.42,185.42,198.12,185.42,28,17,9,9,0.4,0.44,0.27,0.07,Orthodox,Orthodox
2013-08-03,John Lineker,Jose Maria,red,23.14,31.58,160.02,165.1,170.18,,31,37,9,7,0.4,0.53,0.58,0.27,Orthodox,Orthodox
2013-08-03,Vinny Magalhaes,Anthony Perosh,blue,29.09,40.83,190.5,190.5,190.5,190.5,14,15,9,10,0.24,0.43,0.44,0.22,Orthodox,Orthodox
2013-08-03,Amanda Nunes,Sheila Gaff,red,25.18,23.59,172.72,165.1,175.26,,23,9,5,7,0.51,0.5,0.54,0.0,Orthodox,Orthodox
2013-08-03,Ian McCall,Iliarde Santos,red,29.24,32.85,165.1,165.1,162.56,170.18,13,30,5,13,0.39,0.3,0.3,0.23,Orthodox,Orthodox
2013-08-03,Sergio Moraes,Neil Magny,red,31.03,26.0,182.88,190.5,182.88,203.2,14,30,6,14,0.42,0.46,0.38,0.39,Orthodox,Orthodox
2013-08-03,Rani Yahya,Josh Clopton,red,28.89,32.06,167.64,167.64,170.18,,28,6,12,2,0.38,0.64,0.3,0.66,Orthodox,Orthodox
2013-08-17,Mauricio Rua,Chael Sonnen,blue,31.73,36.37,185.42,185.42,193.04,185.42,27,29,14,15,0.5,0.43,0.48,0.59,Orthodox,Southpaw
2013-08-03,Ednaldo Oliveira,Francimar Barroso,blue,29.45,33.43,195.58,185.42,,190.5,17,19,3,7,0.22,0.52,0.0,0.24,Orthodox,Orthodox
2013-08-03,Viscardi Andrade,Bristol Marunde,red,29.4,31.29,180.34,185.42,190.5,190.5,19,16,6,10,0.42,0.21,0.5,0.33,Orthodox,Orthodox
2013-08-17,Alistair Overeem,Travis Browne,blue,33.25,31.09,193.04,198.12,203.2,200.66,47,18,19,7,0.64,0.41,0.55,0.68,Orthodox,Orthodox
2013-08-17,Urijah Faber,Iuri Alcantara,red,34.26,33.03,167.64,175.26,170.18,180.34,35,35,11,10,0.4,0.45,0.3,0.62,Orthodox,Southpaw
2013-08-17,Uriah Hall,John Howard,blue,29.05,30.46,182.88,170.18,200.66,182.88,18,24,11,13,0.48,0.5,0.38,0.49,Orthodox,Orthodox
2013-08-17,Joe Lauzon,Michael Johnson,blue,29.24,27.2,177.8,177.8,180.34,185.42,28,25,16,19,0.39,0.39,0.45,0.38,Orthodox,Southpaw
2013-08-17,Matt Brown,Mike Pyle,red,32.6,37.91,182.88,182.88,190.5,187.96,26,27,19,14,0.55,0.45,0.46,0.35,Orthodox,Orthodox
2013-08-17,Brad Pickett,Michael McDonald,blue,34.9,22.59,167.64,175.26,172.72,177.8,25,17,14,4,0.31,0.42,0.44,0.66,Orthodox,Orthodox
2013-08-17,Conor McGregor,Max Holloway,red,25.09,21.7,175.26,180.34,187.96,175.26,22,27,6,8,0.49,0.48,0.55,0.53,Southpaw,Orthodox
2013-08-17,Manvel Gamburyan,Cole Miller,red,32.28,29.31,165.1,185.42,170.18,185.42,15,21,10,11,0.41,0.33,0.34,0.36,Orthodox,Orthodox
2013-08-17,Mike Brown,Steven Siler,blue,37.94,26.5,167.64,180.34,177.8,177.8,26,29,9,16,0.44,0.41,0.4,0.21,Orthodox,Orthodox
2013-08-17,Diego Brandao,Daniel Pineda,red,26.23,28.03,170.18,170.18,162.56,175.26,22,28,11,17,0.47,0.49,0.68,0.24,Orthodox,Orthodox
2013-08-17,Cody Donovan,Ovince Saint Preux,blue,32.49,30.36,190.5,190.5,187.96,203.2,8,27,5,18,0.59,0.47,0.28,0.36,Orthodox,Southpaw
2013-07-27,Demetrious Johnson,John Moraga,red,26.95,29.35,160.02,167.64,167.64,167.64,27,19,3,7,0.54,0.43,0.56,0.23,Orthodox,Orthodox
2013-08-17,Ramsey Nijem,James Vick,blue,25.38,26.48,180.34,190.5,190.5,193.04,9,13,6,5,0.44,0.39,0.62,0.33,Orthodox,Orthodox
2013-07-27,Liz Carmouche,Jessica Andrade,red,29.43,21.84,167.64,154.94,167.64,157.48,13,26,7,15,0.54,0.48,0.51,0.54,Orthodox,Orthodox
2013-07-27,Rory MacDonald,Jake Ellenberger,red,24.01,28.33,182.88,175.26,193.04,180.34,19,31,4,15,0.42,0.39,0.47,0.47,Orthodox,Orthodox
2013-07-27,Robbie Lawler,Bobby Voelker,red,31.35,34.25,180.34,182.88,187.96,187.96,30,19,16,13,0.47,0.35,0.64,0.5,Southpaw,Orthodox
2013-07-27,Michael Chiesa,Jorge Masvidal,blue,25.64,28.7,185.42,180.34,190.5,187.96,19,35,7,17,0.4,0.47,0.47,0.59,Southpaw,Orthodox
2013-07-27,Mac Danzig,Melvin Guillard,blue,33.57,30.33,172.72,175.26,177.8,180.34,21,32,12,18,0.48,0.4,0.37,0.63,Orthodox,Orthodox
2013-07-27,Danny Castillo,Tim Means,red,33.92,29.43,175.26,187.96,180.34,190.5,17,33,10,17,0.42,0.49,0.38,0.4,Orthodox,Orthodox
2013-07-27,Yves Edwards,Daron Cruickshank,blue,36.82,28.13,175.26,172.72,185.42,182.88,42,18,22,10,0.42,0.38,0.53,0.41,Southpaw,Switch
2013-07-27,Julie Kedzie,Germaine de Randamie,blue,32.36,29.26,165.1,175.26,,180.34,16,10,13,5,0.36,0.46,0.23,0.0,Orthodox,Orthodox
2013-07-27,Ed Herman,Trevor Smith,red,32.82,32.56,185.42,190.5,195.58,190.5,27,15,16,10,0.48,0.55,0.47,0.32,Orthodox,Orthodox
2013-07-27,Aaron Riley,Justin Salas,blue,32.63,31.37,172.72,172.72,175.26,177.8,30,12,14,7,0.34,0.43,0.34,0.2,Southpaw,Southpaw
2013-07-27,John Albert,Yaotzin Meza,blue,26.79,32.47,172.72,175.26,172.72,180.34,6,21,5,11,0.49,0.41,0.0,0.2,Orthodox,Orthodox
2013-07-06,Anderson Silva,Chris Weidman,blue,38.23,29.05,187.96,187.96,195.58,198.12,34,16,11,8,0.61,0.45,0.77,0.42,Southpaw,Orthodox
2013-07-06,Tim Kennedy,Roger Gracie,red,33.85,31.78,180.34,193.04,187.96,200.66,18,8,6,2,0.47,0.35,0.35,0.53,Orthodox,Orthodox
2013-07-06,Mark Munoz,Tim Boetsch,red,35.4,32.44,182.88,182.88,180.34,187.96,14,21,6,13,0.51,0.5,0.29,0.34,Orthodox,Orthodox
2013-07-06,Frankie Edgar,Charles Oliveira,red,31.72,23.72,167.64,177.8,172.72,187.96,23,35,11,11,0.4,0.55,0.31,0.39,Orthodox,Orthodox
2013-07-06,Cub Swanson,Dennis Siver,red,29.68,34.48,172.72,167.64,177.8,177.8,30,23,14,11,0.51,0.32,0.5,0.32,Orthodox,Orthodox
2013-07-06,Chris Leben,Andrew Craig,blue,32.96,27.47,180.34,185.42,185.42,193.04,22,9,11,4,0.42,0.4,0.41,0.37,Southpaw,Orthodox
2013-07-06,Norman Parke,Kazuki Tokudome,red,26.54,26.34,180.34,180.34,177.8,185.42,23,18,6,7,0.35,0.41,0.26,0.38,Southpaw,Southpaw
2013-07-06,Gabriel Gonzaga,Dave Herman,red,34.14,28.76,187.96,193.04,193.04,195.58,17,22,11,6,0.45,0.6,0.39,1.0,Orthodox,Orthodox
2013-07-06,Edson Barboza,Rafaello Oliveira,red,27.46,31.44,180.34,172.72,190.5,180.34,24,17,13,8,0.44,0.33,0.5,0.36,Orthodox,Orthodox
2013-07-06,Seth Baczynski,Brian Melancon,blue,31.69,31.11,190.5,172.72,190.5,,20,7,14,3,0.31,0.49,0.16,1.0,Orthodox,Orthodox
2013-07-06,Mike Pierce,David Mitchell,red,32.84,33.7,172.72,182.88,180.34,190.5,17,22,7,7,0.42,0.32,0.42,0.5,Orthodox,Orthodox
2013-06-08,William Macario,Leonardo Santos,blue,21.94,33.34,180.34,182.88,190.5,190.5,9,18,3,7,0.54,0.46,0.45,0.25,Orthodox,Orthodox
2013-06-08,Antonio Rodrigo Nogueira,Fabricio Werdum,blue,37.02,35.86,190.5,193.04,195.58,195.58,34,24,10,9,0.42,0.52,0.29,0.31,Orthodox,Orthodox
2013-06-08,Thiago Silva,Rafael Cavalcante,red,30.57,33.15,187.96,185.42,187.96,187.96,19,12,6,7,0.5,0.53,0.47,0.4,Orthodox,Orthodox
2013-06-08,Erick Silva,Jason High,red,28.96,31.66,182.88,172.72,187.96,185.42,19,21,9,6,0.48,0.42,0.35,0.63,Orthodox,Southpaw
2013-06-08,Daniel Sarafian,Eddie Mendez,red,30.8,29.39,175.26,177.8,185.42,,10,8,6,3,0.46,0.33,0.07,0.0,Orthodox,Unknown
2013-06-08,Godofredo Pepey,Felipe Arantes,blue,25.94,25.33,170.18,172.72,185.42,185.42,13,18,6,10,0.38,0.45,0.07,0.47,Orthodox,Orthodox
2013-06-08,Raphael Assuncao,Vaughan Lee,red,30.89,30.65,165.1,167.64,167.64,167.64,28,14,10,13,0.42,0.47,0.39,0.33,Orthodox,Orthodox
2013-06-08,Rony Jason,Mike Wilkinson,red,29.22,25.73,170.18,170.18,185.42,167.64,14,9,7,4,0.44,0.38,0.3,0.14,Orthodox,Orthodox
2013-06-08,Ildemar Alcantara,Leandro Silva,red,30.55,27.57,187.96,175.26,198.12,182.88,21,20,11,6,0.38,0.48,0.68,0.37,Orthodox,Orthodox
2013-06-08,Rodrigo Damm,Mizuto Hirota,red,33.34,32.09,170.18,170.18,180.34,170.18,13,18,9,10,0.36,0.4,0.16,0.5,Orthodox,Orthodox
2013-06-08,Caio Magalhaes,Karlos Vemola,red,25.48,27.93,185.42,182.88,185.42,190.5,10,17,3,5,0.4,0.44,0.15,0.25,Orthodox,Orthodox
2013-06-15,Rashad Evans,Dan Henderson,red,33.72,42.81,182.88,180.34,190.5,187.96,19,32,8,15,0.37,0.47,0.44,0.52,Orthodox,Orthodox
2013-06-08,Antonio Braga Neto,Anthony Smith,red,25.61,24.87,190.5,193.04,195.58,193.04,9,38,3,22,0.33,0.49,0.37,0.22,Orthodox,Orthodox
2013-06-15,Alexis Davis,Rosi Sexton,red,28.7,35.92,167.64,160.02,172.72,,21,13,11,5,0.49,0.39,0.44,0.1,Orthodox,Orthodox
2013-06-15,Roy Nelson,Stipe Miocic,blue,36.99,30.82,182.88,193.04,185.42,203.2,22,20,14,5,0.36,0.52,0.27,0.34,Orthodox,Orthodox
2013-06-15,Ryan Jimmo,Igor Pokrajac,red,31.55,34.45,185.42,182.88,185.42,187.96,19,28,5,13,0.66,0.45,0.28,0.29,Orthodox,Orthodox
2013-06-15,Pat Barry,Shawn Jordan,blue,33.94,28.65,180.34,182.88,187.96,190.5,8,19,7,8,0.52,0.5,0.0,0.38,Orthodox,Southpaw
2013-06-15,Jake Shields,Tyron Woodley,red,34.43,31.19,182.88,175.26,182.88,187.96,31,19,9,7,0.36,0.48,0.29,0.4,Orthodox,Orthodox
2013-06-15,Sam Stout,James Krause,blue,29.14,27.03,175.26,187.96,177.8,185.42,20,28,12,9,0.28,0.49,0.38,0.18,Orthodox,Orthodox
2013-06-15,Roland Delorme,Edwin Figueroa,red,29.49,28.87,175.26,170.18,180.34,175.26,9,9,5,5,0.44,0.39,0.34,1.0,Orthodox,Orthodox
2013-06-15,Sean Pierson,Kenny Robertson,red,37.26,29.33,182.88,177.8,193.04,187.96,14,15,6,5,0.39,0.47,0.18,0.26,Southpaw,Orthodox
2013-06-15,Mitch Clarke,John Maguire,red,27.56,30.08,177.8,175.26,185.42,175.26,11,24,5,9,0.34,0.41,0.15,0.46,Orthodox,Southpaw
2013-06-15,Yves Jabouin,Dustin Pague,red,34.05,25.86,170.18,175.26,172.72,187.96,20,12,11,11,0.41,0.53,0.6,0.44,Orthodox,Orthodox
2013-05-25,Junior Dos Santos,Mark Hunt,red,29.32,39.17,193.04,177.8,195.58,182.88,21,13,9,14,0.47,0.43,0.5,0.55,Orthodox,Orthodox
2013-05-25,Cain Velasquez,Antonio Silva,red,30.83,33.69,185.42,193.04,195.58,208.28,14,19,3,12,0.57,0.45,0.45,0.29,Orthodox,Orthodox
2013-05-25,Glover Teixeira,James Te Huna,red,33.57,31.65,187.96,187.96,193.04,190.5,33,16,9,9,0.49,0.51,0.33,0.37,Orthodox,Orthodox
2013-05-25,Donald Cerrone,KJ Noons,red,30.16,30.46,185.42,177.8,185.42,177.8,36,13,17,9,0.46,0.35,0.33,0.2,Orthodox,Orthodox
2013-05-25,Gray Maynard,TJ Grant,blue,34.05,29.24,175.26,177.8,177.8,182.88,13,21,7,5,0.32,0.54,0.47,0.43,Orthodox,Orthodox
2013-05-25,Mike Pyle,Rick Story,red,37.68,28.74,182.88,175.26,187.96,180.34,27,19,14,9,0.45,0.41,0.35,0.48,Orthodox,Southpaw
2013-05-25,Dennis Bermudez,Max Holloway,red,26.45,21.47,167.64,180.34,167.64,175.26,17,27,9,8,0.46,0.48,0.4,0.53,Orthodox,Orthodox
2013-05-25,Colton Smith,Robert Whittaker,blue,25.78,22.43,182.88,182.88,180.34,185.42,7,27,4,9,0.41,0.43,0.36,0.38,Orthodox,Orthodox
2013-05-25,Khabib Nurmagomedov,Abel Trujillo,red,24.68,29.68,177.8,172.72,177.8,177.8,29,15,0,8,0.48,0.41,0.48,0.45,Orthodox,Orthodox
2013-05-25,Stephen Thompson,Nah-Shon Burrell,red,30.28,23.3,182.88,180.34,190.5,,17,15,9,7,0.46,0.47,0.35,0.0,Orthodox,Orthodox
2013-05-25,Jeremy Stephens,Estevan Payan,red,27.0,31.2,175.26,177.8,180.34,,28,16,20,12,0.4,0.42,0.38,1.0,Orthodox,Orthodox
2013-05-25,Brian Bowles,George Roop,blue,32.92,31.54,170.18,185.42,177.8,182.88,10,15,3,13,0.26,0.34,0.7,0.57,Orthodox,Orthodox
2013-04-27,Jon Jones,Chael Sonnen,red,25.77,36.07,193.04,185.42,213.36,185.42,28,29,1,15,0.58,0.43,0.45,0.59,Orthodox,Southpaw
2013-04-27,Michael Bisping,Alan Belcher,red,34.16,29.01,185.42,187.96,190.5,190.5,30,18,9,8,0.38,0.41,0.43,0.26,Orthodox,Orthodox
2013-04-27,Phil Davis,Vinny Magalhaes,red,28.59,28.82,187.96,190.5,200.66,190.5,17,14,4,9,0.34,0.24,0.38,0.44,Orthodox,Orthodox
2013-04-27,Rustam Khabilov,Yancy Medeiros,red,26.48,25.64,172.72,177.8,185.42,190.5,24,15,4,8,0.34,0.37,0.41,0.5,Orthodox,Orthodox
2013-04-27,Gian Villante,Ovince Saint Preux,blue,27.69,30.05,190.5,190.5,193.04,203.2,17,27,14,18,0.44,0.47,0.23,0.36,Orthodox,Southpaw
2013-04-27,Roy Nelson,Cheick Kongo,red,36.85,37.95,182.88,193.04,185.42,208.28,22,27,14,10,0.36,0.56,0.27,0.56,Orthodox,Orthodox
2013-04-27,Sara McMann,Sheila Gaff,red,32.59,23.33,167.64,165.1,167.64,,13,9,6,7,0.46,0.5,0.65,0.0,Orthodox,Orthodox
2013-04-27,Leonard Garcia,Cody McKenzie,blue,33.79,25.36,177.8,182.88,172.72,182.88,18,16,13,10,0.24,0.34,0.26,0.25,Orthodox,Switch
2013-04-27,Bryan Caraway,Johnny Bedford,red,28.73,30.31,172.72,177.8,172.72,180.34,21,21,9,13,0.34,0.5,0.25,0.62,Orthodox,Orthodox
2013-04-27,Steven Siler,Kurt Holobaugh,red,26.2,26.63,180.34,180.34,177.8,177.8,29,22,16,10,0.41,0.44,0.21,0.33,Orthodox,Orthodox
2013-05-18,Jacare Souza,Chris Camozzi,red,33.45,26.49,185.42,187.96,182.88,190.5,26,24,10,13,0.47,0.44,0.39,0.19,Orthodox,Orthodox
2013-05-18,Vitor Belfort,Luke Rockhold,red,36.13,28.58,182.88,190.5,187.96,195.58,26,16,14,6,0.46,0.49,0.6,0.29,Southpaw,Southpaw
2013-05-18,Rafael Dos Anjos,Evan Dunham,red,28.56,31.41,172.72,177.8,177.8,177.8,32,18,17,9,0.47,0.39,0.35,0.33,Southpaw,Southpaw
2013-05-18,Rafael Natal,Joao Zeferino,red,30.4,27.34,182.88,180.34,195.58,,21,21,9,9,0.47,0.36,0.34,0.05,Orthodox,Orthodox
2013-05-18,Francisco Trinaldo,Mike Rio,red,34.73,31.87,175.26,177.8,177.8,177.8,28,10,9,5,0.45,0.39,0.42,0.27,Southpaw,Orthodox
2013-05-18,Hacran Dias,Nik Lentz,blue,28.92,28.76,172.72,172.72,175.26,172.72,23,30,6,12,0.41,0.47,0.39,0.32,Orthodox,Orthodox
2013-05-18,Gleison Tibau,John Cholish,red,29.61,29.42,177.8,180.34,180.34,187.96,33,8,14,3,0.31,0.49,0.53,0.31,Southpaw,Orthodox
2013-05-18,Paulo Thiago,Michel Prazeres,red,32.31,31.81,180.34,167.64,187.96,170.18,18,26,9,4,0.39,0.47,0.31,0.36,Orthodox,Orthodox
2013-05-18,Iuri Alcantara,Iliarde Santos,red,32.79,32.64,175.26,165.1,180.34,170.18,35,30,10,13,0.45,0.3,0.62,0.23,Southpaw,Orthodox
2013-05-18,Fabio Maldonado,Roger Hollett,red,33.17,34.61,185.42,180.34,190.5,,23,13,11,5,0.58,0.47,0.57,0.28,Orthodox,Orthodox
